Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2006,"1,174","1,061","1,116","1,123","1,086","1,074",965,"1,035","1,016",941,"1,003",998
2007,891,828,833,887,842,793,778,699,686,727,641,619
2008,627,593,535,536,504,487,477,435,433,393,389,377
2009,336,372,339,337,376,393,411,418,386,396,375,352
2010,345,336,381,422,280,305,283,282,317,291,287,326
2011,307,270,300,310,305,301,296,299,304,316,328,341
2012,335,366,354,354,370,360,369,375,385,358,392,399
2013,446,447,444,441,428,470,375,381,403,444,446,433
2014,443,420,405,403,451,418,402,456,470,476,442,497
2015,515,540,480,502,502,480,506,518,456,482,504,546
2016,505,517,532,576,571,557,628,575,558,575,571,561
2017,573,587,632,598,635,619,572,556,637,626,711,630
2018,610,618,670,655,674,631,611,592,589,567,600,550
2019,599,638,702,698,620,753,674,699,719,714,694,688
2020,708,690,610,582,706,922,"1,007","1,036",991,"1,001",851,871
2021,911,768,881,809,740,714,726,686,732,671,756,839
2022,831,790,707,619,636,571,543,646,550,589,582,622
,,,,,,,,,,,,
