Date,Day,HighTemp,LowTemp ,Precipitation,ManhattanBridge,Total
1-Apr,Saturday,46,37,0,"1,446","5,397"
2-Apr,Sunday,62.1,41,0,"3,943","13,033"
3-Apr,Monday,63,50,0.03,"4,988","16,325"
4-Apr,Tuesday,51.1,46,1.18,"1,913","6,581"
5-Apr,Wednesday,63,46,0,"5,276","17,991"
6-Apr,Thursday,48.9,41,0.73,"1,324","4,896"
7-Apr,Friday,48,43,0.21,"2,955","10,341"
8-Apr,Saturday,55.9,39.9,0,"3,163","11,610"
9-Apr,Sunday,66,45,0,"4,377","14,899"
10-Apr,Monday,73.9,55,0,"6,359","21,295"
11-Apr,Tuesday,80.1,62.1,0,"7,247","24,714"
12-Apr,Wednesday,73.9,57.9,0.02,"5,633","19,355"
13-Apr,Thursday,64,48.9,0,"6,052","20,880"
14-Apr,Friday,64.9,48.9,0,"5,054","18,015"
15-Apr,Saturday,64.9,52,0,"3,853","14,362"
16-Apr,Sunday,84.9,62.1,0,"4,585","16,408"
17-Apr,Monday,73.9,64,0,"6,352","21,086"
18-Apr,Tuesday,66,50,0,"6,691","22,459"
19-Apr,Wednesday,52,45,0.02,"4,632","15,827"
20-Apr,Thursday,64.9,50,0.17,"3,365","12,290"
21-Apr,Friday,53.1,48,0.29,"3,142","10,914"
22-Apr,Saturday,55.9,52,0.11,"2,297","8,944"
23-Apr,Sunday,64.9,46.9,0,"4,681","15,740"
24-Apr,Monday,60.1,50,0,"5,366","17,855"
25-Apr,Tuesday,54,50,0.91,"1,402","5,493"
26-Apr,Wednesday,59,54,0.34,"2,774","9,819"
27-Apr,Thursday,68,59,0,"5,311","18,581"
28-Apr,Friday,82.9,57.9,0,"6,774","22,787"
29-Apr,Saturday,84,64,0.06,"5,605","19,043"
30-Apr,Sunday,64,54,0,"4,057","13,932"
